year,Lebrons,Giannises,Shaqs,Kobes,Jordans
1984,0,0,0,0,5094
1985,0,0,0,0,6410
1986,0,0,0,0,9382
1987,0,0,0,0,10295
1988,0,0,0,0,10610
1989,0,0,0,0,15156
1990,0,0,50,0,22091
1991,0,0,168,0,21577
1992,0,0,534,0,19397
1993,0,0,1858,0,20579
1994,0,0,1266,0,20417
1995,0,0,468,0,20049
1996,0,0,228,37,20150
1997,0,0,68,304,21927
1998,0,0,28,1093,21523
1999,0,0,13,829,18781
2000,0,0,21,1425,17976
2001,0,0,11,1538,16617
2002,0,0,5,1383,17304
2003,0,0,11,1200,15979
2004,45,0,6,594,14004
2005,32,0,6,412,13089
2006,48,0,0,429,13474
2007,50,0,0,535,13380
2008,41,0,0,706,11738
2009,47,0,0,650,10741
2010,54,0,5,622,9950
2011,16,0,0,510,9705
2012,8,0,12,512,9220
2013,17,0,15,519,8421
2014,6,0,23,484,8176
2015,0,0,17,422,7509
2016,6,0,20,550,6734
2017,0,7,18,509,6015
2018,10,18,7,439,5472
2019,0,80,11,473,5064
2020,0,81,6,1493,4920
2021,0,116,10,1101,4680
